Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa required
Algeria,Visa required
Andorra,Visa not required
Angola,Visa required
Argentina,Visa not required
Armenia,Visa on arrival
Australia and territories,Visa required
Austria,Visa not required
Azerbaijan,Visa required
Bahamas,Visa not required
Bahrain,eVisa
Bangladesh,Visa on arrival
Barbados,Visa not required
Belarus,Visa required
Belgium,Visa not required
Belize,Visa not required
Benin,eVisa / Visa on arrival
Bhutan,Visa required
Bolivia,Visa on arrival
Bosnia and Herzegovina,Visa not required
Botswana,Visa not required
Brazil,Visa required
Brunei,Visa required
Bulgaria,Visa not required
Burkina Faso,Visa required
Burundi,Visa required
Cambodia,Visa on arrival
Cameroon,Visa required
Canada,Visa required
Cape Verde,Visa on arrival
Central African Republic,Visa required
Chad,Visa required
Chile,Visa not required
China,Visa required
Colombia,Visa not required
Comoros,Visa on arrival
Republic of the Congo,Visa required
Democratic Republic of the Congo,Visa required
Costa Rica,Visa not required
Côte d'Ivoire,Visa required
Croatia,Visa not required
Cuba,Visa not required
Cyprus,Visa not required
Czech Republic,Visa not required
Denmark,Visa not required
Djibouti,eVisa
Dominican Republic,Visa not required
Ecuador,Visa not required
Egypt,Visa on arrival
El Salvador,Visa not required
Equatorial Guinea,Visa required
Eritrea,Visa required
Estonia,Visa not required
Eswatini,Visa not required
Ethiopia,eVisa
Fiji,Visa not required
Finland,Visa not required
France,Visa not required
Gabon,eVisa
Gambia,Visa not required
Georgia,eVisa
Germany,Visa not required
Ghana,Visa required
Greece,Visa not required
Guatemala,Visa not required
Guinea,Visa required
Guinea-Bissau,Visa on arrival
Guyana,Visa not required
Haiti,Visa not required
Honduras,Visa not required
Hungary,Visa not required
Iceland,Visa not required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa not required
Israel,Visa not required
Italy,Visa not required
Jamaica,Visa not required
Japan,Visa required
Jordan,Visa on arrival
Kazakhstan,Visa required
Kenya,Visa not required
Kiribati,Visa not required
North Korea,Visa required
South Korea,Visa not required
Kuwait,Visa required
Kyrgyzstan,eVisa
Laos,eVisa / Visa on arrival
Latvia,Visa not required
Lebanon,Visa required
Lesotho,Visa not required
Liberia,Visa required
Libya,Visa required
Liechtenstein,Visa not required
Lithuania,Visa not required
Luxembourg,Visa not required
Madagascar,eVisa / Visa on arrival
Malawi,Visa not required
Malaysia,Visa not required
Maldives,Visa on arrival
Mali,Visa required
Malta,Visa not required
Marshall Islands,Visa required
Mauritania,Visa on arrival
Mauritius,Visa not required
Mexico,Visa required
Micronesia,Visa not required
Moldova,Visa not required
Monaco,Visa not required
Mongolia,Visa required
Montenegro,Visa not required
Morocco,Visa required
Mozambique,Visa on arrival
Myanmar,Visa required
Namibia,Visa required
Nauru,Visa required
Nepal,Visa on arrival
Netherlands,Visa not required
New Zealand,Visa required
Nicaragua,Visa not required
Niger,Visa required
Nigeria,Visa required
North Macedonia,Visa required
Norway,Visa not required
Oman,Visa required
Pakistan,eTA
Palau,Visa on arrival
Panama,Visa not required
Papua New Guinea,Visa on arrival
Paraguay,Visa required
Peru,Visa not required
Philippines,Visa not required
Poland,Visa not required
Portugal,Visa not required
Qatar,eVisa
Romania,Visa not required
Russia,Visa required
Rwanda,eVisa / Visa on arrival
Samoa,Visa on arrival
San Marino,Visa not required
São Tomé and Príncipe,eVisa
Saudi Arabia,Visa required
Senegal,Visa on arrival
Serbia,Visa required
Seychelles,Visa on arrival
Sierra Leone,Visa on arrival
Singapore,Visa not required
Slovakia,Visa not required
Slovenia,Visa not required
Solomon Islands,Visa on arrival
Somalia,Visa on arrival
South Africa,Visa required
South Sudan,Visa required
Spain,Visa not required
Sri Lanka,eTA
Sudan,Visa required
Suriname,Visa not required
Sweden,Visa not required
Switzerland,Visa not required
Syria,Visa required
Tajikistan,eVisa
Tanzania,Visa not required
Thailand,Visa required
Timor-Leste,Visa on arrival
Togo,Visa on arrival
Tonga,Visa on arrival
Trinidad and Tobago,Visa not required
Tunisia,Visa not required
Turkey,eVisa
Turkmenistan,Visa required
Tuvalu,Visa on arrival
Uganda,Visa on arrival
Ukraine,eVisa
United Arab Emirates,Visa required
United Kingdom and Crown dependencies,Visa not required
United States,Visa required
Uruguay,Visa required
Uzbekistan,Visa not required
Vanuatu,Visa not required
Vatican City,Visa not required
Venezuela,Visa not required
Vietnam,Visa required
Yemen,Visa required
Zambia,Visa not required
Zimbabwe,Visa not required
