Country,URL
Afghanistan,https://en.wikipedia.org/wiki/Visa_requirements_for_Afghan_citizens
Albania,https://en.wikipedia.org/wiki/Visa_requirements_for_Albanian_citizens
Algeria,https://en.wikipedia.org/wiki/Visa_requirements_for_Algerian_citizens
Andorra,https://en.wikipedia.org/wiki/Visa_requirements_for_Andorran_citizens
Angola,https://en.wikipedia.org/wiki/Visa_requirements_for_Angolan_citizens
Antigua and Barbuda,https://en.wikipedia.org/wiki/Visa_requirements_for_Antigua_and_Barbuda_citizens
Argentina,https://en.wikipedia.org/wiki/Visa_requirements_for_Argentine_citizens
Armenia,https://en.wikipedia.org/wiki/Visa_requirements_for_Armenian_citizens
Australia,https://en.wikipedia.org/wiki/Visa_requirements_for_Australian_citizens
Austria,https://en.wikipedia.org/wiki/Visa_requirements_for_Austrian_citizens
Azerbaijan,https://en.wikipedia.org/wiki/Visa_requirements_for_Azerbaijani_citizens
Bahamas,https://en.wikipedia.org/wiki/Visa_requirements_for_Bahamian_citizens
Bahrain,https://en.wikipedia.org/wiki/Visa_requirements_for_Bahraini_citizens
Bangladesh,https://en.wikipedia.org/wiki/Visa_requirements_for_Bangladeshi_citizens
Barbados,https://en.wikipedia.org/wiki/Visa_requirements_for_Barbadian_citizens
Belarus,https://en.wikipedia.org/wiki/Visa_requirements_for_Belarusian_citizens
Belgium,https://en.wikipedia.org/wiki/Visa_requirements_for_Belgian_citizens
Belize,https://en.wikipedia.org/wiki/Visa_requirements_for_Belizean_citizens
Benin,https://en.wikipedia.org/wiki/Visa_requirements_for_Beninese_citizens
Bhutan,https://en.wikipedia.org/wiki/Visa_requirements_for_Bhutanese_citizens
Bolivia,https://en.wikipedia.org/wiki/Visa_requirements_for_Bolivian_citizens
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Visa_requirements_for_Bosnia_and_Herzegovina_citizens
Botswana,https://en.wikipedia.org/wiki/Visa_requirements_for_Botswana_citizens
Brazil,https://en.wikipedia.org/wiki/Visa_requirements_for_Brazilian_citizens
Brunei,https://en.wikipedia.org/wiki/Visa_requirements_for_Bruneian_citizens
Bulgaria,https://en.wikipedia.org/wiki/Visa_requirements_for_Bulgarian_citizens
Burkina Faso,https://en.wikipedia.org/wiki/Visa_requirements_for_Burkinabe_citizens
Burundi,https://en.wikipedia.org/wiki/Visa_requirements_for_Burundian_citizens
Cambodia,https://en.wikipedia.org/wiki/Visa_requirements_for_Cambodian_citizens
Cameroon,https://en.wikipedia.org/wiki/Visa_requirements_for_Cameroonian_citizens
Canada,https://en.wikipedia.org/wiki/Visa_requirements_for_Canadian_citizens
Cape Verde,https://en.wikipedia.org/wiki/Visa_requirements_for_Cape_Verdean_citizens
Central African Republic,https://en.wikipedia.org/wiki/Visa_requirements_for_Central_African_Republic_citizens
Chad,https://en.wikipedia.org/wiki/Visa_requirements_for_Chadian_citizens
Chile,https://en.wikipedia.org/wiki/Visa_requirements_for_Chilean_citizens
China,https://en.wikipedia.org/wiki/Visa_requirements_for_Chinese_citizens
Colombia,https://en.wikipedia.org/wiki/Visa_requirements_for_Colombian_citizens
Comoros,https://en.wikipedia.org/wiki/Visa_requirements_for_Comorian_citizens
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Visa_requirements_for_Democratic_Republic_of_the_Congo_citizens
Republic of the Congo,https://en.wikipedia.org/wiki/Visa_requirements_for_Republic_of_the_Congo_citizens
Costa Rica,https://en.wikipedia.org/wiki/Visa_requirements_for_Costa_Rican_citizens
Côte d'Ivoire,https://en.wikipedia.org/wiki/Visa_requirements_for_Ivorian_citizens
Croatia,https://en.wikipedia.org/wiki/Visa_requirements_for_Croatian_citizens
Cuba,https://en.wikipedia.org/wiki/Visa_requirements_for_Cuban_citizens
Cyprus,https://en.wikipedia.org/wiki/Visa_requirements_for_Cypriot_citizens
Czech Republic,https://en.wikipedia.org/wiki/Visa_requirements_for_Czech_citizens
Denmark,https://en.wikipedia.org/wiki/Visa_requirements_for_Danish_citizens
Djibouti,https://en.wikipedia.org/wiki/Visa_requirements_for_Djiboutian_citizens
Dominica,https://en.wikipedia.org/wiki/Visa_requirements_for_Dominica_citizens
Dominican Republic,https://en.wikipedia.org/wiki/Visa_requirements_for_Dominican_Republic_citizens
Ecuador,https://en.wikipedia.org/wiki/Visa_requirements_for_Ecuadorian_citizens
Egypt,https://en.wikipedia.org/wiki/Visa_requirements_for_Egyptian_citizens
El Salvador,https://en.wikipedia.org/wiki/Visa_requirements_for_El_Salvador_citizens
Equatorial Guinea,https://en.wikipedia.org/wiki/Visa_requirements_for_Equatorial_Guinean_citizens
Eritrea,https://en.wikipedia.org/wiki/Visa_requirements_for_Eritrean_citizens
Estonia,https://en.wikipedia.org/wiki/Visa_requirements_for_Estonian_citizens
Eswatini,https://en.wikipedia.org/wiki/Visa_requirements_for_Swazi_citizens
Ethiopia,https://en.wikipedia.org/wiki/Visa_requirements_for_Ethiopian_citizens
Fiji,https://en.wikipedia.org/wiki/Visa_requirements_for_Fijian_citizens
Finland,https://en.wikipedia.org/wiki/Visa_requirements_for_Finnish_citizens
France,https://en.wikipedia.org/wiki/Visa_requirements_for_French_citizens
Gabon,https://en.wikipedia.org/wiki/Visa_requirements_for_Gabonese_citizens
Gambia,https://en.wikipedia.org/wiki/Visa_requirements_for_Gambian_citizens
Georgia,https://en.wikipedia.org/wiki/Visa_requirements_for_Georgian_citizens
Germany,https://en.wikipedia.org/wiki/Visa_requirements_for_German_citizens
Ghana,https://en.wikipedia.org/wiki/Visa_requirements_for_Ghanaian_citizens
Greece,https://en.wikipedia.org/wiki/Visa_requirements_for_Greek_citizens
Grenada,https://en.wikipedia.org/wiki/Visa_requirements_for_Grenadian_citizens
Guatemala,https://en.wikipedia.org/wiki/Visa_requirements_for_Guatemalan_citizens
Guinea,https://en.wikipedia.org/wiki/Visa_requirements_for_Guinean_citizens
Guinea-Bissau,https://en.wikipedia.org/wiki/Visa_requirements_for_Guinea-Bissauan_citizens
Guyana,https://en.wikipedia.org/wiki/Visa_requirements_for_Guyanese_citizens
Haiti,https://en.wikipedia.org/wiki/Visa_requirements_for_Haitian_citizens
Honduras,https://en.wikipedia.org/wiki/Visa_requirements_for_Honduran_citizens
Hong Kong SAR,https://en.wikipedia.org/wiki/Visa_requirements_for_Chinese_citizens_of_Hong_Kong
Hungary,https://en.wikipedia.org/wiki/Visa_requirements_for_Hungarian_citizens
Iceland,https://en.wikipedia.org/wiki/Visa_requirements_for_Icelandic_citizens
India,https://en.wikipedia.org/wiki/Visa_requirements_for_Indian_citizens
Indonesia,https://en.wikipedia.org/wiki/Visa_requirements_for_Indonesian_citizens
Iran,https://en.wikipedia.org/wiki/Visa_requirements_for_Iranian_citizens
Iraq,https://en.wikipedia.org/wiki/Visa_requirements_for_Iraqi_citizens
Ireland,https://en.wikipedia.org/wiki/Visa_requirements_for_Irish_citizens
Israel,https://en.wikipedia.org/wiki/Visa_requirements_for_Israeli_citizens
Italy,https://en.wikipedia.org/wiki/Visa_requirements_for_Italian_citizens
Jamaica,https://en.wikipedia.org/wiki/Visa_requirements_for_Jamaican_citizens
Japan,https://en.wikipedia.org/wiki/Visa_requirements_for_Japanese_citizens
Jordan,https://en.wikipedia.org/wiki/Visa_requirements_for_Jordanian_citizens
Kazakhstan,https://en.wikipedia.org/wiki/Visa_requirements_for_Kazakhstani_citizens
Kenya,https://en.wikipedia.org/wiki/Visa_requirements_for_Kenyan_citizens
Kiribati,https://en.wikipedia.org/wiki/Visa_requirements_for_Kiribati_citizens
Kosovo,https://en.wikipedia.org/wiki/Visa_requirements_for_Kosovan_citizens
North Korea,https://en.wikipedia.org/wiki/Visa_requirements_for_North_Korean_citizens
South Korea,https://en.wikipedia.org/wiki/Visa_requirements_for_South_Korean_citizens
Kuwait,https://en.wikipedia.org/wiki/Visa_requirements_for_Kuwaiti_citizens
Kyrgyzstan,https://en.wikipedia.org/wiki/Visa_requirements_for_Kyrgyzstani_citizens
Laos,https://en.wikipedia.org/wiki/Visa_requirements_for_Laotian_citizens
Latvia,https://en.wikipedia.org/wiki/Visa_requirements_for_Latvian_citizens
Lebanon,https://en.wikipedia.org/wiki/Visa_requirements_for_Lebanese_citizens
Lesotho,https://en.wikipedia.org/wiki/Visa_requirements_for_Lesotho_citizens
Liberia,https://en.wikipedia.org/wiki/Visa_requirements_for_Liberian_citizens
Libya,https://en.wikipedia.org/wiki/Visa_requirements_for_Libyan_citizens
Liechtenstein,https://en.wikipedia.org/wiki/Visa_requirements_for_Liechtenstein_citizens
Lithuania,https://en.wikipedia.org/wiki/Visa_requirements_for_Lithuanian_citizens
Luxembourg,https://en.wikipedia.org/wiki/Visa_requirements_for_citizens_of_Luxembourg
Macau SAR,https://en.wikipedia.org/wiki/Visa_requirements_for_Chinese_citizens_of_Macau
Madagascar,https://en.wikipedia.org/wiki/Visa_requirements_for_Malagasy_citizens
Malawi,https://en.wikipedia.org/wiki/Visa_requirements_for_Malawian_citizens
Malaysia,https://en.wikipedia.org/wiki/Visa_requirements_for_Malaysian_citizens
Maldives,https://en.wikipedia.org/wiki/Visa_requirements_for_Maldivian_citizens
Mali,https://en.wikipedia.org/wiki/Visa_requirements_for_Malian_citizens
Malta,https://en.wikipedia.org/wiki/Visa_requirements_for_Maltese_citizens
Marshall Islands,https://en.wikipedia.org/wiki/Visa_requirements_for_Marshallese_citizens
Mauritania,https://en.wikipedia.org/wiki/Visa_requirements_for_Mauritanian_citizens
Mauritius,https://en.wikipedia.org/wiki/Visa_requirements_for_Mauritian_citizens
Mexico,https://en.wikipedia.org/wiki/Visa_requirements_for_Mexican_citizens
Micronesia,https://en.wikipedia.org/wiki/Visa_requirements_for_Micronesian_citizens
Moldova,https://en.wikipedia.org/wiki/Visa_requirements_for_Moldovan_citizens
Monaco,https://en.wikipedia.org/wiki/Visa_requirements_for_Mon%C3%A9gasque_citizens
Mongolia,https://en.wikipedia.org/wiki/Visa_requirements_for_Mongolian_citizens
Montenegro,https://en.wikipedia.org/wiki/Visa_requirements_for_Montenegrin_citizens
Morocco,https://en.wikipedia.org/wiki/Visa_requirements_for_Moroccan_citizens
Mozambique,https://en.wikipedia.org/wiki/Visa_requirements_for_Mozambican_citizens
Myanmar,https://en.wikipedia.org/wiki/Visa_requirements_for_Myanmar_citizens
Namibia,https://en.wikipedia.org/wiki/Visa_requirements_for_Namibian_citizens
Nauru,https://en.wikipedia.org/wiki/Visa_requirements_for_Nauruan_citizens
Nepal,https://en.wikipedia.org/wiki/Visa_requirements_for_Nepalese_citizens
Netherlands,https://en.wikipedia.org/wiki/Visa_requirements_for_Dutch_citizens
New Zealand,https://en.wikipedia.org/wiki/Visa_requirements_for_New_Zealand_citizens
Nicaragua,https://en.wikipedia.org/wiki/Visa_requirements_for_Nicaraguan_citizens
Niger,https://en.wikipedia.org/wiki/Visa_requirements_for_Nigerien_citizens
Nigeria,https://en.wikipedia.org/wiki/Visa_requirements_for_Nigerian_citizens
North Macedonia,https://en.wikipedia.org/wiki/Visa_requirements_for_citizens_of_North_Macedonia
Norway,https://en.wikipedia.org/wiki/Visa_requirements_for_Norwegian_citizens
Oman,https://en.wikipedia.org/wiki/Visa_requirements_for_Omani_citizens
Pakistan,https://en.wikipedia.org/wiki/Visa_requirements_for_Pakistani_citizens
Palau,https://en.wikipedia.org/wiki/Visa_requirements_for_Palauan_citizens
Panama,https://en.wikipedia.org/wiki/Visa_requirements_for_Panamanian_citizens
Papua New Guinea,https://en.wikipedia.org/wiki/Visa_requirements_for_Papua_New_Guinean_citizens
Paraguay,https://en.wikipedia.org/wiki/Visa_requirements_for_Paraguayan_citizens
Peru,https://en.wikipedia.org/wiki/Visa_requirements_for_Peruvian_citizens
Philippines,https://en.wikipedia.org/wiki/Visa_requirements_for_Philippine_citizens
Poland,https://en.wikipedia.org/wiki/Visa_requirements_for_Polish_citizens
Portugal,https://en.wikipedia.org/wiki/Visa_requirements_for_Portuguese_citizens
Qatar,https://en.wikipedia.org/wiki/Visa_requirements_for_Qatari_citizens
Romania,https://en.wikipedia.org/wiki/Visa_requirements_for_Romanian_citizens
Russia,https://en.wikipedia.org/wiki/Visa_requirements_for_Russian_citizens
Rwanda,https://en.wikipedia.org/wiki/Visa_requirements_for_Rwandan_citizens
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Visa_requirements_for_Saint_Kitts_and_Nevis_citizens
Saint Lucia,https://en.wikipedia.org/wiki/Visa_requirements_for_Saint_Lucian_citizens
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Visa_requirements_for_Saint_Vincent_and_the_Grenadines_citizens
Samoa,https://en.wikipedia.org/wiki/Visa_requirements_for_Samoan_citizens
San Marino,https://en.wikipedia.org/wiki/Visa_requirements_for_Sammarinese_citizens
São Tomé and Príncipe,https://en.wikipedia.org/wiki/Visa_requirements_for_Santomean_citizens
Saudi Arabia,https://en.wikipedia.org/wiki/Visa_requirements_for_Saudi_Arabian_citizens
Senegal,https://en.wikipedia.org/wiki/Visa_requirements_for_Senegalese_citizens
Serbia,https://en.wikipedia.org/wiki/Visa_requirements_for_Serbian_citizens
Seychelles,https://en.wikipedia.org/wiki/Visa_requirements_for_Seychellois_citizens
Sierra Leone,https://en.wikipedia.org/wiki/Visa_requirements_for_Sierra_Leonean_citizens
Singapore,https://en.wikipedia.org/wiki/Visa_requirements_for_Singaporean_citizens
Slovakia,https://en.wikipedia.org/wiki/Visa_requirements_for_Slovak_citizens
Slovenia,https://en.wikipedia.org/wiki/Visa_requirements_for_Slovenian_citizens
Solomon Islands,https://en.wikipedia.org/wiki/Visa_requirements_for_Solomon_Islands_citizens
Somalia,https://en.wikipedia.org/wiki/Visa_requirements_for_Somali_citizens
South Africa,https://en.wikipedia.org/wiki/Visa_requirements_for_South_African_citizens
South Sudan,https://en.wikipedia.org/wiki/Visa_requirements_for_South_Sudanese_citizens
Spain,https://en.wikipedia.org/wiki/Visa_requirements_for_Spanish_citizens
