Country,Passport Strength Score
Hong Kong SAR,98920520.11
United Arab Emirates,92446182.51
Japan,91138765.16
Singapore,89466460.16
Chile,86407882.86
Brunei,82933084.91
San Marino,81143373.16
Ireland,79441368.91
Portugal,79342639.86
Canada,78664127.31
Australia,78426604.66
Spain,78222450.76
France,78178716.81
United States,77703642.91
South Korea,77501578.11
Monaco,77122121.86
Germany,75689469.16
Finland,75165531.46
Luxembourg,74958398.66
Denmark,74530555.56
Netherlands,74389069.36
Macau SAR,74015802.91
Sweden,73683335.36
Greece,73674724.06
Austria,73614150.16
Norway,73406838.41
Switzerland,73231894.01
Malta,73168952.66
Belgium,73036291.36
Czech Republic,72977745.01
Andorra,72940871.36
Slovakia,72846893.81
Poland,72846178.01
Hungary,72571943.51
Iceland,72558739.81
Italy,72136818.21
United Kingdom,72024251.36
New Zealand,71883292.51
Lithuania,71855339.96
Slovenia,71751127.11
Estonia,71658501.41
Latvia,71551623.41
Liechtenstein,71466177.61
Serbia,70575431.11
Brazil,70339369.46
Israel,70299206.91
Argentina,70116572.06
Qatar,69466616.35
Bahamas,68396454.71
Ecuador,68286677.4
Grenada,66615263.01
Russia,66334309.8
Seychelles,65638672.86
Romania,64561265.26
Uruguay,64531698.51
Cyprus,64398998.91
Malaysia,64028184.11
Ukraine,63686057.36
Barbados,63579439.06
Croatia,63204996.96
Bulgaria,62941314.11
Vatican City,61762851.56
Costa Rica,61623026.51
Peru,61060102.96
Paraguay,60926117.91
Bosnia and Herzegovina,59946250.91
Panama,59629970.86
Venezuela,59587396.26
Fiji,59469320.55
Saint Kitts and Nevis,58579487.21
Mexico,58470762.21
Colombia,58174119.36
Saint Vincent and the Grenadines,57893568.76
Armenia,57822722.05
Taiwan,57707173.31
Jamaica,56971497.8
Dominica,56572953.71
Thailand,56410446.9
Antigua and Barbuda,56110846.61
Mauritius,55729763.46
North Macedonia,55336313.11
South Africa,55300103.25
Montenegro,55287904.91
Guatemala,55065813.51
Honduras,54821413.86
Kazakhstan,54519112.55
El Salvador,54283183.11
Nicaragua,53529531.96
Samoa,53080124.46
Bolivia,52852859.55
Mongolia,52831388.75
Palau,52667612.26
Guyana,51397286.05
Suriname,49101336.05
Moldova,46860162.96
Belarus,46417765.7
Turkey,45442348.25
Trinidad and Tobago,44050345.56
Vanuatu,42366896.01
Maldives,40683154.7
Georgia,40047457.51
Botswana,39111332.7
Kyrgyzstan,38959779.25
Azerbaijan,38173886.05
Uzbekistan,37719075.7
Cuba,37266710.25
Nauru,36854092.7
Tajikistan,36657419.35
Belize,36248293.9
Indonesia,36072906.75
Marshall Islands,35970301.71
Solomon Islands,35909850.71
Tunisia,34900673.05
Laos,34499468.85
Tonga,34217935.71
Micronesia,33623452.61
Albania,33023391.66
Philippines,32897411.15
Saint Lucia,31709235.51
China,31551066.45
Papua New Guinea,30718437.8
Morocco,30320809.2
Namibia,29722126.4
Saudi Arabia,26982079.9
Kuwait,26941038.15
Kiribati,24835169.11
Oman,24403151.55
Tuvalu,24382428.81
Benin,24193961.5
Cape Verde,23565372.4
Côte d'Ivoire,22794083.9
Bahrain,22131058.7
Mali,21856253.35
Kenya,21646080.5
Vietnam,21522239.7
Ghana,21328112.0
Dominican Republic,21158928.3
Gambia,21154498.45
Senegal,20705241.05
Lesotho,20448008.9
Burkina Faso,20271499.5
Togo,19987706.65
Timor-Leste,19538709.11
Rwanda,19518569.05
Zimbabwe,19455871.8
Tanzania,19387774.45
Guinea,19347312.2
Eswatini,19222430.5
Mauritania,19212915.75
Jordan,18897194.95
India,18892608.6
Bhutan,18574618.0
Gabon,17887146.45
Zambia,17876651.45
Liberia,17808817.5
Egypt,17587552.15
Niger,17171682.35
Nepal,17002781.35
Sierra Leone,16943478.0
Mozambique,16817106.15
Cambodia,16792885.3
Malawi,16765096.45
Guinea-Bissau,16717065.9
Algeria,16680373.2
Myanmar,16335749.25
Angola,15976809.7
Haiti,15929475.35
Uganda,15828232.1
Chad,15804041.05
Equatorial Guinea,15563690.1
Burundi,15545779.1
Nigeria,14963204.6
Madagascar,14770751.8
Republic of the Congo,14484812.5
Turkmenistan,14477684.5
Lebanon,14301572.8
Cameroon,13968714.15
Iran,13695448.05
Sri Lanka,13666189.5
Libya,13301619.65
São Tomé and Príncipe,12772744.6
Comoros,11910533.7
Central African Republic,11882139.55
Djibouti,10829682.4
Sudan,10622715.6
Eritrea,10416653.8
North Korea,10348749.6
South Sudan,10212468.7
Democratic Republic of the Congo,9755775.25
Ethiopia,9425684.7
Bangladesh,9049179.1
Yemen,8036149.75
Syria,7245672.6
Pakistan,6674989.85
Iraq,6430710.05
Afghanistan,5466155.65
Kosovo,3956259.1
Somalia,1974829.15
